title	type	year	author	country	seen
Evil	film	2005	Yorgos Noussias	greece	no
Hood of the Living Dead	film	2005	Eduardo Quiroz, Jose Quiroz	usa	no
House of the Dead II	film	2005	Michael Hurst	new zealand	no
Land of the Dead	film	2005	George A. Romero	usa	no
Livelihood	film	2005	Ryan Graham	NA	no
Mortuary	film	2005	Tobe Hooper	usa	no
Return of the Living Dead: Necropolis	film	2005	Ellory Elkayem	new zealand	no
Return of the Living Dead: Rave to the Grave	film	2005	Ellory Elkayem	new zealand	no
Severed: Forest of the Dead	film	2005	Carl Bessai	canada	no
Swamp Zombies	film	2005	Len Kabasinski	NA	no
The Roost	film	2005	Ti West	usa	no
The Stink of Flesh	film	2005	Scott Phillips	usa	no
Tokyo Zombie	film	2005	Sakichi Sato	japan	no
Zombie Hunter	film	2005	Geoff Hamby	usa	no
Zombiez	film	2005	John Bacchus	usa	no
Bone Sickness	film	2004	Brian Paulin	usa	no
Choking Hazard	film	2004	Marek Dobes	czech	no
Curse of the Maya (Dawn of the Living Dead, Evil Grave: Curse of the Maya)	film	2004	David Heavener	usa	no
Dawn of the Dead	film	2004	Zack Snyder	usa	no
Dead & Breakfast	film	2004	Matthew Leutwyler	usa	no
Dead Meat	film	2004	Conor McMahon	ireland	no
Die Nacht der lebenden Loser (Night of the Living Dorks)	film	2004	Mathias Dinter	germany	no
Gay By Dawn	film	2004	Jonathan London	usa	no
Graveyard Alive: A Zombie Nurse in Love	film	2004	Elza Kephart	canada	no
Hide and Creep	film	2004	Chuck Hartsell, Chance Shirley	usa	no
Oh! My Zombie Mermaid	film	2004	Naoki Kubo	japan	no
Re-Penetrator	film	2004	Doug Sakmann	usa	no
Resident Evil: Apocalypse	film	2004	Alexander Witt	usa	no
SARS Wars	film	2004	Taweewat Wantha	thailand	no
Shaolin vs. Evil Dead (Shao lin jiang shi, Siu lam geung see)	film	2004	Douglas Kung	hong kong	no
Shaun of the Dead	film	2004	Edgar Wright	uk	no
Song of the Dead	film	2004	Chip Gubera	usa	no
The Lost Tape: Andy's Terrifying Last Days Revealed	film	2004	Zack Snyder	usa	no
They Came Back	film	2004	Robin Campillo	france	no
Vampires vs. Zombies (Carmilla the Lesbian Vampire)	film	2004	Vince D'Amato	canada	no
Worst Case Scenario(Woensdag Gehaktdag)	film	2004	Richard Raaphorst	netherlands	no
Zombie Honeymoon	film	2004	David Gebroe	usa	no
Zombie King and the Legion of Doom (Zombie Beach Party, Enter … Zombie King)	film	2004	Stacey Case	canada	no
Zombie Nation	film	2004	Ulli Lommel	germany	no
Zombie Vegetarians	film	2004	Mad Martian	usa	no
Battlefield Baseball	film	2003	Yudai Yamaguchi	japan	no
Beyond Re-Animator	film	2003	Brian Yuzna	philippines	no
Blood of the Beast	film	2003	Georg Koszulinski	usa	no
Boot Hill Blind Dead	film	2003	Chris Mackey, Alana Smithe	usa	no
Corpses Are Forever	film	2003	Jose Prendes	venezuela	no
Exhumed	film	2003	Brian Clement	canada	no
"Goregoyles: First Cut, segment ""Berserkers"""	film	2003	Kevin J. Lindenmuth	usa	no
Gory Gory Hallelujah	film	2003	Sue Corcoran	usa	no
House of the Dead	film	2003	Uwe Boll	germany	no
I'll See You in My Dreams	film	2003	Miguel Angel Vivas	spain	no
Living Dead Girl	film	2003	Jon Springer	usa	no
The Ghouls (Cannibal Dead: The Ghouls, Urban Cannibals)	film	2003	Chad Ferrin	usa	no
Undead	film	2003	Michael Spierig, Peter Spierig	australia	no
Zombie Night	film	2003	David J. Francis	canada	no
Zombie Planet	film	2003	George Bonilla	usa	no
Zombie Valley	film	2003	Darin Beckstead	NA	no
Zombiegeddon	film	2003	Chris Watson	usa	no
28 Days Later	film	2002	Danny Boyle	uk	yes
Deathwatch	film	2002	Michael J. Bassett	uk	no
Necropolis Awakened	film	2002	Garrett White	NA	no
